order_date,final_anomaly_status,confidence,business_impact,main_anomaly_causes,orders,revenue,profit,revenue_impact_percentage,profit_impact_percentage,orders_impact_percentage,ai_business_explanation
2021-12-19,Confirmed Anomaly,High,Critical,"profit (z=4.36), revenue (z=4.33), gross_sales (z=3.94)",124,216603.87,75979.41,129.3610309324626,84.05309177995194,67.17090649674921,"An anomaly was detected on 2021-12-19 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 129.4% compared with normal business performance, profit increased by 84.1%, and orders increased by 67.2%. The main contributing KPIs were profit (z=4.36), revenue (z=4.33), gross_sales (z=3.94)."
2022-12-12,Confirmed Anomaly,High,Critical,"revenue (z=3.64), product_cost (z=3.44), gross_sales (z=3.42)",135,197442.37,66761.78,109.07098997330344,61.72423583880106,82.00058368597696,"An anomaly was detected on 2022-12-12 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 109.1% compared with normal business performance, profit increased by 61.7%, and orders increased by 82.0%. The main contributing KPIs were revenue (z=3.64), product_cost (z=3.44), gross_sales (z=3.42)."
2021-12-18,Confirmed Anomaly,High,Critical,"revenue (z=3.59), product_cost (z=3.40), gross_sales (z=3.31)",128,196176.46,66908.54,107.73052259075985,62.079748361859934,72.56351638374112,"An anomaly was detected on 2021-12-18 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 107.7% compared with normal business performance, profit increased by 62.1%, and orders increased by 72.6%. The main contributing KPIs were revenue (z=3.59), product_cost (z=3.40), gross_sales (z=3.31)."
2021-12-28,Confirmed Anomaly,High,Critical,"revenue (z=3.49), gross_sales (z=3.44), product_cost (z=3.43)",136,193463.18,63471.81,104.85744050774612,53.75458787281542,83.34873615772493,"An anomaly was detected on 2021-12-28 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 104.9% compared with normal business performance, profit increased by 53.8%, and orders increased by 83.3%. The main contributing KPIs were revenue (z=3.49), gross_sales (z=3.44), product_cost (z=3.43)."
2021-12-08,Confirmed Anomaly,High,Critical,"product_cost (z=3.78), gross_sales (z=3.49), revenue (z=3.40)",110,190836.06,53497.3,102.07559292772233,29.5922601515282,48.29677189227752,"An anomaly was detected on 2021-12-08 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 102.1% compared with normal business performance, profit increased by 29.6%, and orders increased by 48.3%. The main contributing KPIs were product_cost (z=3.78), gross_sales (z=3.49), revenue (z=3.40)."
2025-12-15,Confirmed Anomaly,High,Critical,"revenue (z=3.35), product_cost (z=3.35), gross_sales (z=3.25)",125,189502.6,61370.11,100.66359710185272,48.66341405356722,68.51905896849718,"An anomaly was detected on 2025-12-15 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 100.7% compared with normal business performance, profit increased by 48.7%, and orders increased by 68.5%. The main contributing KPIs were revenue (z=3.35), product_cost (z=3.35), gross_sales (z=3.25)."
2023-12-10,Confirmed Anomaly,High,Critical,"revenue (z=3.30), product_cost (z=3.23), gross_sales (z=3.14)",123,188081.13,62304.4,99.15840781488583,50.92664514629474,65.82275402500123,"An anomaly was detected on 2023-12-10 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 99.2% compared with normal business performance, profit increased by 50.9%, and orders increased by 65.8%. The main contributing KPIs were revenue (z=3.30), product_cost (z=3.23), gross_sales (z=3.14)."
2024-11-11,Confirmed Anomaly,High,Critical,"revenue (z=3.22), product_cost (z=3.10), gross_sales (z=3.07)",123,185986.33,63319.06,96.94023189957406,53.38456512889851,65.82275402500123,"An anomaly was detected on 2024-11-11 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 96.9% compared with normal business performance, profit increased by 53.4%, and orders increased by 65.8%. The main contributing KPIs were revenue (z=3.22), product_cost (z=3.10), gross_sales (z=3.07)."
2024-12-10,Confirmed Anomaly,High,Critical,"product_cost (z=3.34), gross_sales (z=3.24), revenue (z=3.13)",123,183387.72,55396.89,94.18857345232932,34.19384119321144,65.82275402500123,"An anomaly was detected on 2024-12-10 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 94.2% compared with normal business performance, profit increased by 34.2%, and orders increased by 65.8%. The main contributing KPIs were product_cost (z=3.34), gross_sales (z=3.24), revenue (z=3.13)."
2022-11-06,Confirmed Anomaly,High,Critical,"revenue (z=3.12), product_cost (z=2.98), gross_sales (z=2.96)",112,183271.69,62995.35,94.06570971762736,52.60040760069333,50.99307683577348,"An anomaly was detected on 2022-11-06 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 94.1% compared with normal business performance, profit increased by 52.6%, and orders increased by 51.0%. The main contributing KPIs were revenue (z=3.12), product_cost (z=2.98), gross_sales (z=2.96)."
2023-12-19,Confirmed Anomaly,High,Critical,"profit (z=3.14), revenue (z=3.04), orders (z=2.95)",130,180947.14,66392.89,91.60425238330524,60.83063394025109,75.25982132723706,"An anomaly was detected on 2023-12-19 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 91.6% compared with normal business performance, profit increased by 60.8%, and orders increased by 75.3%. The main contributing KPIs were profit (z=3.14), revenue (z=3.04), orders (z=2.95)."
2023-11-20,Confirmed Anomaly,High,Critical,"gross_sales (z=3.08), product_cost (z=3.08), revenue (z=3.00)",117,179886.97,58063.84,90.48164232022712,40.65428084551385,57.73383919451336,"An anomaly was detected on 2023-11-20 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 90.5% compared with normal business performance, profit increased by 40.7%, and orders increased by 57.7%. The main contributing KPIs were gross_sales (z=3.08), product_cost (z=3.08), revenue (z=3.00)."
2025-12-10,Possible Anomaly,Medium,Critical,"gross_sales (z=3.00), revenue (z=2.99), product_cost (z=2.96)",129,179575.16,59664.8,90.1514678729513,44.53245833881149,73.91166885548908,"An anomaly was detected on 2025-12-10 with medium confidence. The anomaly is classified as possible anomaly with critical business impact. Revenue increased by 90.2% compared with normal business performance, profit increased by 44.5%, and orders increased by 73.9%. The main contributing KPIs were gross_sales (z=3.00), revenue (z=2.99), product_cost (z=2.96)."
2022-12-20,Confirmed Anomaly,High,Critical,"gross_sales (z=3.11), product_cost (z=3.10), discount (z=3.04)",127,179022.4,55862.29,89.56615236839346,35.32122963850721,71.21536391199314,"An anomaly was detected on 2022-12-20 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 89.6% compared with normal business performance, profit increased by 35.3%, and orders increased by 71.2%. The main contributing KPIs were gross_sales (z=3.11), product_cost (z=3.10), discount (z=3.04)."
2025-12-05,Possible Anomaly,Medium,Critical,"revenue (z=2.89), gross_sales (z=2.75), profit (z=2.73)",121,176910.24,63211.12,87.3295940137606,53.123090464555546,63.126449081505264,"An anomaly was detected on 2025-12-05 with medium confidence. The anomaly is classified as possible anomaly with critical business impact. Revenue increased by 87.3% compared with normal business performance, profit increased by 53.1%, and orders increased by 63.1%. The main contributing KPIs were revenue (z=2.89), gross_sales (z=2.75), profit (z=2.73)."
2023-12-29,Possible Anomaly,Medium,Critical,"gross_sales (z=2.92), product_cost (z=2.87), revenue (z=2.82)",122,174889.42,56929.34,85.18975524481831,37.90605954945015,64.47460155325324,"An anomaly was detected on 2023-12-29 with medium confidence. The anomaly is classified as possible anomaly with critical business impact. Revenue increased by 85.2% compared with normal business performance, profit increased by 37.9%, and orders increased by 64.5%. The main contributing KPIs were gross_sales (z=2.92), product_cost (z=2.87), revenue (z=2.82)."
2025-12-23,Confirmed Anomaly,High,Critical,"profit (z=3.02), revenue (z=2.75), gross_sales (z=2.64)",122,172947.45,65438.33,83.13341044710111,58.518300647725255,64.47460155325324,"An anomaly was detected on 2025-12-23 with high confidence. The anomaly is classified as confirmed anomaly with critical business impact. Revenue increased by 83.1% compared with normal business performance, profit increased by 58.5%, and orders increased by 64.5%. The main contributing KPIs were profit (z=3.02), revenue (z=2.75), gross_sales (z=2.64)."
